school_id,school_type,school_name,school_neighborhood,n_machines,n_shops,n_total
1,Grundschule,Schule an der Admiralstraße,Findorff-Bürgerweide,4,14,18
2,Grundschule,Schule am Alten Postweg,Hastedt,0,1,1
3,Grundschule,Schule Am Mönchshof,Lesum,2,2,4
4,Grundschule,Schule An der Gete,Gete,0,2,2
5,Grundschule,Schule an der Alfred-Faust-Straße,Kattenesch,0,2,2
6,Grundschule,Schule Arbergen,Arbergen,0,0,0
7,Grundschule,Schule Arsten,Arsten,1,0,1
8,Grundschule,Schule Auf den Heuen,Oslebshausen,0,2,2
9,Grundschule,Schule an der Andernacher Straße,Tenever,0,2,2
10,Grundschule,Schule an der Augsburger Straße,Regensburger Straße,1,2,3
11,Grundschule,Schule Alt-Aumund,Vegesack,0,0,0
12,Grundschule,Schule Am Wasser,Grohn,0,6,6
13,Grundschule,Schule am Baumschulenweg,Neu-Schwachhausen,2,5,7
14,Grundschule,Schule an der Parsevalstraße,Sebaldsbrück,0,1,1
15,Grundschule,Schule Borchshöhe,Aumund-Hammersbeck,1,2,3
16,Grundschule,Schule Borgfeld,Borgfeld,1,1,2
17,Grundschule,Schule an der Brinkmannstraße,Hemelingen,0,4,4
18,Grundschule,Schule Am Weidedamm,Weidedamm,0,2,2
19,Grundschule,Bürgermeister-Smidt-Schule,Ostertor,6,15,21
20,Grundschule,Schule am Buntentorsteinweg,Huckelriede,0,7,7
21,Grundschule,Schule Burgdamm,Burgdamm,0,3,3
22,Grundschule,Marie-Curie-Schule,Lehesterdeich,0,4,4
23,Grundschule,Schule an der Carl-Schurz-Straße,Schwachhausen,1,5,6
24,Grundschule,Schule an der Düsseldorfer Straße,Blockdiek,1,6,7
25,Grundschule,Schule Fährer Flur,Fähr-Lobbendorf,3,1,4
26,Grundschule,Schule am Ellenerbrokweg,Ellenerbrok-Schevemoor,5,1,6
27,Grundschule,Schule Farge-Rekum,Farge,0,3,3
28,Grundschule,Schule an der Freiligrathstraße,Radio Bremen,1,1,2
29,Grundschule,Schule an der Wigmodistraße,Blumenthal,0,4,4
30,Grundschule,Schule an der Humannstraße,Ohlenhof,1,2,3
31,Grundschule,Schule an der Glockenstraße,Hemelingen,1,0,1
32,Grundschule,Schule an der Grambker Heerstraße,Burg-Grambke,1,2,3
33,Grundschule,Schule Grolland,Grolland,1,0,1
34,Grundschule,Schule Am Borgfelder Saatland,Borgfeld,2,2,4
35,Grundschule,Schule am Bunnsackerweg,Habenhausen,0,0,0
