area,social_index
Alte Neustadt,3
Altstadt,3
Arbergen,3
Arsten,3
Aumund-Hammersbeck,3
Bahnhofsvorstadt,2
Barkhof,4
Blockdiek,3
Blumenthal,2
Borgfeld,4
Burg-Grambke,3
Burgdamm,3
Ellener Feld,3
Ellenerbrok-Schevemoor,3
Fähr-Lobbendorf,3
Farge,3
Findorff-Bürgerweide,3
Gartenstadt Süd,3
Gartenstadt Vahr,3
Gete,4
Grohn,2
Grolland,4
Gröpelingen,1
Habenhausen,4
Hastedt,3
Hemelingen,2
Hohentor,3
Hohweg,NA
Horn,4
Huckelriede,3
Hulsberg,3
Industriehäfen,NA
Kattenesch,3
Kattenturm,2
Kirchhuchting,2
Lehe,4
Lehesterdeich,4
Lesum,3
Lindenhof,1
Lüssum-Bockhorn,2
Mahndorf,3
Mittelshuchting,3
Neu-Schwachhausen,4
Neue Vahr Nord,3
Neue Vahr Südost,3
Neue Vahr Südwest,3
Neuenland,3
Neustadt,3
Oberneuland,4
Ohlenhof,1
Oslebshausen,2
Osterfeuerberg,3
Ostertor,3
Peterswerder,4
Rablinghausen,3
Radio Bremen,4
Regensburger Straße,3
Rönnebeck,3
Schönebeck,3
Schwachhausen,4
Sebaldsbrück,3
Seehausen,3
Sodenmatt,2
St. Magnus,4
Steffensweg,3
Steintor,4
Strom,NA
Südervorstadt,3
Tenever,1
Überseestadt,3
Utbremen,3
Vegesack,3
Walle,3
Weidedamm,4
Westend,3
Woltmershausen,3
